employee_id,name,years_in_company,department,education_level,job_level,current_salary,previous_promotions,last_promotion_year,performance_score,manager_feedback,peer_feedback,kpi_score,training_hours_completed,certifications_count,innovation_score,attendance_rate,overtime_hours,internal_initiatives,team_collaboration_score,mentorship_score,disciplinary_actions,project_delivery_success_rate,client_feedback_score,skill_progression_score,cross_functional_exposure,workload_balance,learning_agility,department_budget_factor,vacant_positions_in_level,policy_override_flag,remote_work_eligibility,promotion_received,promotion_year,salary_increase_percent,explanation_notes
E00001,Employee_1,6,Finance,Diploma,Senior,1514186,0,2022,2.51,2.34,3.34,1.0,42,1,0.31,0.94,14,3,0.46,0.34,0,0.82,3.32,0.79,4,0.51,0.41,1.19,3,True,False,1,2025.0,11,
E00002,Employee_2,17,Sales,Master,Senior,1731978,1,2016,2.1,1.85,3.18,0.92,45,2,0.52,0.85,52,1,0.67,0.63,0,0.67,3.39,0.54,0,0.63,0.75,1.18,2,False,False,0,,0,
E00003,Employee_3,9,HR,Bachelor,Mid,696399,3,2023,4.48,5.0,2.71,1.0,59,0,0.33,1.0,16,1,0.42,0.09,0,0.76,5.0,0.29,3,0.65,0.69,1.3,3,False,False,0,,0,
E00004,Employee_4,18,Sales,Master,Entry,553355,1,2015,2.03,2.65,3.43,0.76,31,3,0.35,0.88,22,1,0.55,0.41,0,0.78,4.12,1.0,0,0.74,0.6,0.99,3,False,False,0,,0,
E00005,Employee_5,16,Legal,Diploma,Entry,594205,2,2022,3.68,4.01,3.32,0.98,34,1,0.45,0.99,48,0,0.55,0.2,0,0.72,5.0,0.77,2,0.92,0.75,0.86,0,False,True,0,,0,
E00006,Employee_6,17,IT,Diploma,Senior,1343313,2,2009,2.77,2.55,4.07,0.79,37,4,0.19,0.99,5,1,0.86,1.0,0,0.65,2.92,0.0,4,0.5,0.78,0.81,0,False,True,0,,0,
E00007,Employee_7,23,Legal,Bachelor,Mid,957305,0,2007,3.75,4.2,5.0,0.88,58,6,0.09,0.92,102,2,0.84,0.22,0,0.71,1.95,0.48,1,0.74,0.7,0.82,3,False,True,0,,0,
E00008,Employee_8,9,Operations,Diploma,Manager,2046117,0,2016,3.36,4.61,3.03,0.78,25,1,0.13,0.9,5,1,0.82,0.02,0,0.67,3.53,0.94,3,0.73,0.59,1.1,1,True,False,0,,0,
E00009,Employee_9,14,Finance,Master,Senior,1377489,2,2025,3.01,2.46,3.42,1.0,51,2,0.15,0.87,3,0,0.71,0.43,0,1.0,1.21,0.29,0,1.0,0.48,0.94,1,False,False,0,,0,
E00010,Employee_10,0,Sales,Master,Mid,970822,0,2025,3.78,4.86,3.74,1.0,9,3,0.37,0.89,14,0,0.72,0.31,0,0.93,3.43,0.39,4,0.61,0.73,0.96,3,False,False,0,,0,
E00011,Employee_11,24,Legal,Diploma,Mid,1126571,2,2021,1.9,1.89,3.58,1.0,40,3,0.67,0.9,1,0,0.58,0.6,1,0.78,5.0,0.82,4,0.75,0.4,0.71,0,False,False,0,,0,
E00012,Employee_12,12,Finance,PhD,Manager,2080795,1,2014,3.26,2.79,4.18,1.0,50,3,0.54,0.93,59,1,0.47,0.44,0,0.49,5.0,0.47,3,0.7,1.0,1.09,3,False,False,0,,0,
E00013,Employee_13,0,Operations,Diploma,Senior,1286653,0,2025,1.86,1.27,3.47,0.5,42,1,0.22,0.91,10,0,0.51,0.86,1,1.0,5.0,0.35,1,0.66,0.26,1.21,3,False,True,0,,0,
E00014,Employee_14,21,Operations,Master,Entry,437088,0,2008,3.76,3.36,2.87,1.0,71,3,0.03,0.91,126,2,0.22,0.91,1,0.84,4.02,0.0,0,0.47,0.69,1.38,0,False,False,0,,0,
